Time Block,MCP (Rs/kWh)*
00:00 - 00:15,3.64783
00:15 - 00:30,3.64753
00:30 - 00:45,3.52783
00:45 - 01:00,3.5005300000000004
01:00 - 01:15,3.41634
01:15 - 01:30,3.14477
01:30 - 01:45,3.1287399999999996
01:45 - 02:00,3.1191
02:00 - 02:15,3.1104600000000002
02:15 - 02:30,3.0766999999999998
02:30 - 02:45,3.07623
02:45 - 03:00,3.02163
03:00 - 03:15,3.02125
03:15 - 03:30,3.0213
03:30 - 03:45,3.02137
03:45 - 04:00,3.02182
04:00 - 04:15,3.0101
04:15 - 04:30,3.01041
04:30 - 04:45,3.0101
04:45 - 05:00,3.0105500000000003
05:00 - 05:15,3.14692
05:15 - 05:30,3.60004
05:30 - 05:45,3.69403
05:45 - 06:00,4.50005
06:00 - 06:15,5.00093
06:15 - 06:30,10.0
06:30 - 06:45,10.0
06:45 - 07:00,10.0
07:00 - 07:15,10.0
07:15 - 07:30,10.0
07:30 - 07:45,10.0
07:45 - 08:00,10.0
08:00 - 08:15,10.0
08:15 - 08:30,10.0
08:30 - 08:45,10.0
08:45 - 09:00,10.0
09:00 - 09:15,10.0
09:15 - 09:30,10.0
09:30 - 09:45,10.0
09:45 - 10:00,10.0
10:00 - 10:15,10.0
10:15 - 10:30,10.0
10:30 - 10:45,10.0
10:45 - 11:00,10.0
11:00 - 11:15,10.0
11:15 - 11:30,8.00211
11:30 - 11:45,6.22041
11:45 - 12:00,5.41494
12:00 - 12:15,4.7496599999999995
12:15 - 12:30,4.28206
12:30 - 12:45,4.35053
12:45 - 13:00,4.25791
13:00 - 13:15,3.81041
13:15 - 13:30,3.7709
13:30 - 13:45,3.81037
13:45 - 14:00,3.8106999999999998
14:00 - 14:15,3.90087
14:15 - 14:30,3.9406999999999996
14:30 - 14:45,4.00005
14:45 - 15:00,4.27916
15:00 - 15:15,4.37745
15:15 - 15:30,4.50058
15:30 - 15:45,4.78013
15:45 - 16:00,5.00072
16:00 - 16:15,6.00039
16:15 - 16:30,6.01088
16:30 - 16:45,10.0
16:45 - 17:00,10.0
17:00 - 17:15,10.0
17:15 - 17:30,10.0
17:30 - 17:45,10.0
17:45 - 18:00,10.0
18:00 - 18:15,10.0
18:15 - 18:30,10.0
18:30 - 18:45,10.0
18:45 - 19:00,10.0
19:00 - 19:15,10.0
19:15 - 19:30,10.0
19:30 - 19:45,10.0
19:45 - 20:00,10.0
20:00 - 20:15,10.0
20:15 - 20:30,10.0
20:30 - 20:45,10.0
20:45 - 21:00,10.0
21:00 - 21:15,9.156799999999999
21:15 - 21:30,6.5007399999999995
21:30 - 21:45,5.20988
21:45 - 22:00,5.000430000000001
22:00 - 22:15,4.525600000000001
22:15 - 22:30,4.7088
22:30 - 22:45,4.71228
22:45 - 23:00,4.53825
23:00 - 23:15,4.43603
23:15 - 23:30,4.00017
23:30 - 23:45,3.69456
23:45 - 24:00,3.6474699999999998
